"date","REGION","price"
2003-09-18,"NSW1",19.0685138088529
2003-09-18,"QLD1",15.4918923730259
2003-09-18,"SA1",25.3047136819561
2003-09-18,"SNOWY1",19.3806549440909
2003-09-18,"VIC1",21.5861919816515
2003-09-19,"NSW1",18.9826876184437
2003-09-19,"QLD1",16.4627709527162
2003-09-19,"SA1",25.2352517710802
2003-09-19,"SNOWY1",19.6422462203987
2003-09-19,"VIC1",23.4679155431226
2003-09-20,"NSW1",16.8536212788436
2003-09-20,"QLD1",14.1474744130249
2003-09-20,"SA1",20.1325191950217
2003-09-20,"SNOWY1",17.568673566917
2003-09-20,"VIC1",17.4011926699089
2003-09-21,"NSW1",15.273353848433
2003-09-21,"QLD1",12.4273997352869
2003-09-21,"SA1",17.2162421094196
2003-09-21,"SNOWY1",15.1373660562405
2003-09-21,"VIC1",14.7086655386296
2003-09-22,"NSW1",17.7859288513558
2003-09-22,"QLD1",15.6204736505046
2003-09-22,"SA1",21.4098368304096
2003-09-22,"SNOWY1",18.0644681443238
2003-09-22,"VIC1",19.2169342378345
2003-09-23,"NSW1",23.5225592602141
2003-09-23,"QLD1",21.0601381697443
2003-09-23,"SA1",26.4373698232196
2003-09-23,"SNOWY1",23.3609692787014
2003-09-23,"VIC1",24.8928106870391
2003-09-24,"NSW1",17.0864499454619
2003-09-24,"QLD1",15.6706314476143
2003-09-24,"SA1",19.8206793598048
2003-09-24,"SNOWY1",17.0854612257214
2003-09-24,"VIC1",17.6952396624061
2003-09-25,"NSW1",19.51718405831
2003-09-25,"QLD1",18.2265711058531
2003-09-25,"SA1",23.9673580381857
2003-09-25,"SNOWY1",19.9656945228317
2003-09-25,"VIC1",20.2089227422747
2003-09-26,"NSW1",19.7708080363317
2003-09-26,"QLD1",18.0112288628473
2003-09-26,"SA1",25.7690223126242
2003-09-26,"SNOWY1",20.1831741704909
2003-09-26,"VIC1",21.7403231589675
2003-09-27,"NSW1",16.9546310090731
2003-09-27,"QLD1",15.436608356492
2003-09-27,"SA1",20.8517413022908
2003-09-27,"SNOWY1",17.6068927816525
2003-09-27,"VIC1",17.9020863310685
2003-09-28,"NSW1",16.3094128332051
2003-09-28,"QLD1",14.1675519837563
2003-09-28,"SA1",20.2761510601886
2003-09-28,"SNOWY1",15.5097100743476
2003-09-28,"VIC1",17.1591727797913
2003-09-29,"NSW1",19.3551701235174
2003-09-29,"QLD1",17.1965777706405
2003-09-29,"SA1",25.0905193530766
2003-09-29,"SNOWY1",20.6219479599158
2003-09-29,"VIC1",21.7155990011781
2003-09-30,"NSW1",19.6482875438119
2003-09-30,"QLD1",17.3950994754861
2003-09-30,"SA1",26.4856337948212
2003-09-30,"SNOWY1",20.880926660906
2003-09-30,"VIC1",22.3305197220441
2003-10-01,"NSW1",23.8941419334499
2003-10-01,"QLD1",19.6221240379694
2003-10-01,"SA1",33.1553641332587
2003-10-01,"SNOWY1",24.6075585471864
2003-10-01,"VIC1",28.1428049258583
2003-10-02,"NSW1",26.0632968966408
2003-10-02,"QLD1",16.5791473020308
2003-10-02,"SA1",35.34995983673
2003-10-02,"SNOWY1",26.9321176170855
2003-10-02,"VIC1",31.9546805926197
2003-10-03,"NSW1",22.6538264466912
2003-10-03,"QLD1",17.6944111557508
2003-10-03,"SA1",34.6127802068469
2003-10-03,"SNOWY1",23.5772414347684
2003-10-03,"VIC1",30.9514038007259
2003-10-04,"NSW1",18.1852540913856
2003-10-04,"QLD1",15.8975923960267
2003-10-04,"SA1",25.1953530349015
2003-10-04,"SNOWY1",19.0450075772783
2003-10-04,"VIC1",21.4645756161781
2003-10-05,"NSW1",16.3248259390229
2003-10-05,"QLD1",13.7251951645761
2003-10-05,"SA1",20.4174402858372
2003-10-05,"SNOWY1",14.4349145470738
2003-10-05,"VIC1",17.1500473879953
2003-10-06,"NSW1",18.8681181692745
2003-10-06,"QLD1",17.3837451830316
2003-10-06,"SA1",22.8766866783857
2003-10-06,"SNOWY1",17.1629441376947
2003-10-06,"VIC1",20.6309784079992
2003-10-07,"NSW1",18.785657195853
2003-10-07,"QLD1",16.321467165811
2003-10-07,"SA1",23.9433756065857
2003-10-07,"SNOWY1",19.6587059864571
2003-10-07,"VIC1",21.1417560507438
2003-10-08,"NSW1",17.9513400484963
2003-10-08,"QLD1",15.5611825517321
2003-10-08,"SA1",22.6898131125794
2003-10-08,"SNOWY1",18.5864937991624
2003-10-08,"VIC1",20.0721151554348
2003-10-09,"NSW1",17.4699476321094
2003-10-09,"QLD1",15.2969115175473
2003-10-09,"SA1",21.7867707443484
2003-10-09,"SNOWY1",18.1206927765477
2003-10-09,"VIC1",19.3100900793403
2003-10-10,"NSW1",19.7056030328551
2003-10-10,"QLD1",16.7002284623809
2003-10-10,"SA1",25.8646834574146
2003-10-10,"SNOWY1",20.7428962295447
2003-10-10,"VIC1",22.8758622025172
2003-10-11,"NSW1",19.7935977620955
2003-10-11,"QLD1",16.4252132450043
2003-10-11,"SA1",25.7739445008661
2003-10-11,"SNOWY1",20.7914808326768
2003-10-11,"VIC1",21.4844168350845
2003-10-12,"NSW1",16.2860242385572
2003-10-12,"QLD1",13.3528418300714
2003-10-12,"SA1",19.3431070508825
2003-10-12,"SNOWY1",14.1474658187007
2003-10-12,"VIC1",15.9067886246787
2003-10-13,"NSW1",17.2046047730581
2003-10-13,"QLD1",14.8122139679668
2003-10-13,"SA1",29.8409465609678
2003-10-13,"SNOWY1",17.0092135448867
2003-10-13,"VIC1",28.4505095474725
2003-10-14,"NSW1",17.3844244988817
2003-10-14,"QLD1",14.7608730464297
2003-10-14,"SA1",35.5573132621234
2003-10-14,"SNOWY1",17.9571936312755
2003-10-14,"VIC1",36.6092406594831
2003-10-15,"NSW1",16.5917247399715
2003-10-15,"QLD1",14.3618590238167
2003-10-15,"SA1",23.2502395307678
2003-10-15,"SNOWY1",15.9805902127259
2003-10-15,"VIC1",22.9537469501571
2003-10-16,"NSW1",16.6713940853997
2003-10-16,"QLD1",14.2802410631957
2003-10-16,"SA1",31.3761756846134
2003-10-16,"SNOWY1",17.1948429988324
2003-10-16,"VIC1",23.8466143458477
2003-10-17,"NSW1",16.3520105356355
2003-10-17,"QLD1",13.9365198620899
2003-10-17,"SA1",35.0134936831681
2003-10-17,"SNOWY1",16.1429834511528
2003-10-17,"VIC1",19.1353076741131
2003-10-18,"NSW1",14.5603004504147
2003-10-18,"QLD1",11.5298329924479
2003-10-18,"SA1",20.5043900806827
2003-10-18,"SNOWY1",13.4506785677064
2003-10-18,"VIC1",12.6103396522444
2003-10-19,"NSW1",13.4581751778161
2003-10-19,"QLD1",11.4503943516408
2003-10-19,"SA1",18.0164985467057
2003-10-19,"SNOWY1",11.5378170021295
2003-10-19,"VIC1",10.3259711861696
2003-10-20,"NSW1",15.9741022942803
2003-10-20,"QLD1",14.3046755171495
2003-10-20,"SA1",22.0112082376983
2003-10-20,"SNOWY1",16.191003928378
2003-10-20,"VIC1",17.2460006703389
2003-10-21,"NSW1",16.4858145587762
2003-10-21,"QLD1",13.3332482781084
2003-10-21,"SA1",23.7733967143865
2003-10-21,"SNOWY1",16.2352866620755
2003-10-21,"VIC1",17.8508009025774
2003-10-22,"NSW1",16.6562176667789
2003-10-22,"QLD1",14.4821755000357
2003-10-22,"SA1",21.9111629505759
2003-10-22,"SNOWY1",16.906216793935
2003-10-22,"VIC1",18.0826184230171
2003-10-23,"NSW1",16.7623940344411
2003-10-23,"QLD1",14.4050871176052
2003-10-23,"SA1",24.9849500527437
2003-10-23,"SNOWY1",17.1936906903682
2003-10-23,"VIC1",21.4301932123333
2003-10-24,"NSW1",17.217622010804
2003-10-24,"QLD1",15.7817516722073
2003-10-24,"SA1",22.05278408461
2003-10-24,"SNOWY1",17.3353778553042
2003-10-24,"VIC1",18.5354482426492
2003-10-25,"NSW1",16.8098570125001
2003-10-25,"QLD1",14.5160553335601
2003-10-25,"SA1",27.8013713317334
2003-10-25,"SNOWY1",17.540563518707
2003-10-25,"VIC1",17.9802435491868
2003-10-26,"NSW1",15.6280135099299
2003-10-26,"QLD1",13.5361307181794
2003-10-26,"SA1",21.4514033987547
2003-10-26,"SNOWY1",15.4547773129529
2003-10-26,"VIC1",15.2163713784279
2003-10-27,"NSW1",16.8424048272866
2003-10-27,"QLD1",15.0229032959644
2003-10-27,"SA1",28.5591421065164
2003-10-27,"SNOWY1",17.4553050457624
2003-10-27,"VIC1",17.782997156279
2003-10-28,"NSW1",17.5069817017051
2003-10-28,"QLD1",15.8593027535737
2003-10-28,"SA1",21.9568669652874
2003-10-28,"SNOWY1",18.3550122277583
2003-10-28,"VIC1",18.9075057946944
2003-10-29,"NSW1",17.8545227072188
2003-10-29,"QLD1",16.5837058640181
2003-10-29,"SA1",22.843112522809
2003-10-29,"SNOWY1",18.0932660529994
2003-10-29,"VIC1",21.1211573478722
2003-10-30,"NSW1",17.0151533420848
2003-10-30,"QLD1",15.7098618435527
2003-10-30,"SA1",27.1853914109697
2003-10-30,"SNOWY1",17.5586248486303
2003-10-30,"VIC1",25.5881443979863
2003-10-31,"NSW1",18.0202288429429
2003-10-31,"QLD1",17.2722993578553
2003-10-31,"SA1",28.1866121855499
2003-10-31,"SNOWY1",18.5726839949294
2003-10-31,"VIC1",19.8954715788048
2003-11-01,"NSW1",16.6798058104888
2003-11-01,"QLD1",14.5525430574787
2003-11-01,"SA1",20.5019987547714
2003-11-01,"SNOWY1",17.3715933422002
2003-11-01,"VIC1",17.8412995675163
2003-11-02,"NSW1",15.8357980856696
2003-11-02,"QLD1",14.0482310969194
2003-11-02,"SA1",19.3701150869407
2003-11-02,"SNOWY1",16.1535489656926
2003-11-02,"VIC1",16.1168957620261
2003-11-03,"NSW1",16.7156601049818
2003-11-03,"QLD1",15.9606160309797
2003-11-03,"SA1",20.6097662306835
2003-11-03,"SNOWY1",17.0557647212631
2003-11-03,"VIC1",17.5581660226693
2003-11-04,"NSW1",16.682773349894
2003-11-04,"QLD1",16.7320909663884
2003-11-04,"SA1",20.2979716254881
2003-11-04,"SNOWY1",16.6736168800976
2003-11-04,"VIC1",16.7246558495384
2003-11-05,"NSW1",17.6647916156556
2003-11-05,"QLD1",17.5110617816675
2003-11-05,"SA1",24.1898043440249
2003-11-05,"SNOWY1",18.3134778156009
2003-11-05,"VIC1",23.665373038341
2003-11-06,"NSW1",19.2608373477921
2003-11-06,"QLD1",18.523835469889
2003-11-06,"SA1",27.9598010862197
2003-11-06,"SNOWY1",20.0056736161142
2003-11-06,"VIC1",26.100180994115
2003-11-07,"NSW1",19.0628398092082
2003-11-07,"QLD1",19.8685398354515
2003-11-07,"SA1",23.4686087932173
2003-11-07,"SNOWY1",19.6422286173146
2003-11-07,"VIC1",22.8080834174111
2003-11-08,"NSW1",16.9539860148003
2003-11-08,"QLD1",15.748333465627
2003-11-08,"SA1",19.5071940317331
2003-11-08,"SNOWY1",17.6598015422706
2003-11-08,"VIC1",18.511218030504
2003-11-09,"NSW1",15.8670668764703
2003-11-09,"QLD1",13.8894270679104
2003-11-09,"SA1",17.4975814785488
2003-11-09,"SNOWY1",16.1606128613083
2003-11-09,"VIC1",16.1007380008899
2003-11-10,"NSW1",18.2793297129482
2003-11-10,"QLD1",16.9777118383279
2003-11-10,"SA1",26.9577324348694
2003-11-10,"SNOWY1",19.0958527753503
2003-11-10,"VIC1",26.377289740075
2003-11-11,"NSW1",20.2112192524983
2003-11-11,"QLD1",17.6894206459347
2003-11-11,"SA1",25.0979829096018
2003-11-11,"SNOWY1",20.5153359637891
2003-11-11,"VIC1",22.2489268964099
2003-11-12,"NSW1",16.1979741523883
2003-11-12,"QLD1",14.9807318842796
2003-11-12,"SA1",22.2779025414946
2003-11-12,"SNOWY1",16.8587263392874
2003-11-12,"VIC1",20.1600098395027
2003-11-13,"NSW1",19.1140216148385
2003-11-13,"QLD1",17.0928273786575
2003-11-13,"SA1",24.1220479854558
2003-11-13,"SNOWY1",19.5561157489988
2003-11-13,"VIC1",20.7564607968245
2003-11-14,"NSW1",18.5028764895257
2003-11-14,"QLD1",16.3054118555918
2003-11-14,"SA1",31.2038526446394
2003-11-14,"SNOWY1",19.4258731692265
2003-11-14,"VIC1",24.5655806718859
2003-11-15,"NSW1",31.2840890359644
2003-11-15,"QLD1",15.1704557724276
2003-11-15,"SA1",39.1347876362848
2003-11-15,"SNOWY1",30.1904838075367
2003-11-15,"VIC1",34.5922759138222
2003-11-16,"NSW1",15.32878595138
2003-11-16,"QLD1",13.5297771748252
2003-11-16,"SA1",16.8801805194759
2003-11-16,"SNOWY1",14.7793563933208
2003-11-16,"VIC1",15.203543810828
2003-11-17,"NSW1",19.1839352940046
2003-11-17,"QLD1",17.1133582655742
2003-11-17,"SA1",24.4330695022596
2003-11-17,"SNOWY1",18.1546134850829
2003-11-17,"VIC1",21.6569875791346
2003-11-18,"NSW1",20.8770587244579
2003-11-18,"QLD1",126.319870783891
2003-11-18,"SA1",59.7169189705358
2003-11-18,"SNOWY1",20.4108481084608
2003-11-18,"VIC1",23.9077189273299
2003-11-19,"NSW1",26.6580906523211
2003-11-19,"QLD1",24.2184341729375
2003-11-19,"SA1",219.26426170255
2003-11-19,"SNOWY1",27.8291266460951
2003-11-19,"VIC1",31.1003033097551
2003-11-20,"NSW1",26.4283519419624
2003-11-20,"QLD1",22.8606555079079
2003-11-20,"SA1",33.6446699408154
2003-11-20,"SNOWY1",25.6051721791463
2003-11-20,"VIC1",29.0660626889721
2003-11-21,"NSW1",23.4007112445718
2003-11-21,"QLD1",20.6077382724007
2003-11-21,"SA1",28.9824693599646
2003-11-21,"SNOWY1",24.0024666272253
2003-11-21,"VIC1",25.2675490930378
2003-11-22,"NSW1",19.097723310676
2003-11-22,"QLD1",16.3939495013594
2003-11-22,"SA1",24.6150323439999
2003-11-22,"SNOWY1",20.6776307204928
2003-11-22,"VIC1",21.4053484077799
2003-11-23,"NSW1",15.0169159627721
